icgmRange,icgmLow,icgmHigh,ysiName,< 40 ,40-60 ,61-80 ,81-120 ,121-160 ,161-200 ,201-250 ,251-300 ,301-350 ,351-400 ,> 400 
,,,ysiLow,0,40,61,81,121,161,201,251,301,351,401
,,,ysiHigh,39,60,80,120,160,200,250,300,350,400,1000
<40 ,0,39,,0.135,0.567,0.240,0.038,0.019,,,,,,
40-60 ,40,60,,0.012,0.678,0.279,0.027,0.002,0.001,,,,,
61-80 ,61,80,,0.001,0.213,0.614,0.169,0.003,0.001,,,,,
81-120 ,81,120,,,0.004,0.136,0.703,0.151,0.006,0.000,,,,
121-160 ,121,160,,,,0.000,0.142,0.643,0.201,0.013,0.000,0.000,,
161-200 ,161,200,,,,,0.001,0.145,0.567,0.269,0.015,0.002,0.000,
201-250 ,201,250,,,,,,0.002,0.121,0.594,0.254,0.029,0.000,
251-300 ,251,300,,,,,,,0.001,0.137,0.591,0.253,0.019,
301-350 ,301,350,,,,,,,,0.002,0.223,0.634,0.137,0.005
351-400 ,351,400,,,,,,,,,0.008,0.439,0.525,0.029
>400 ,401,1000,,,,,,,,,,0.059,0.765,0.176